entity1,text,label
SkiResort,who are all the people who have managed the Englands under 20 soccer team,0
Disease,Name the home town of Cline Buckens ,0
Person,Where is the work location of Arturo Toscanini on Staten Island,1
Group,What is parent company for alumna of Thomas Hobbes ,1
Mineral,Which is place of marriage and end cause of Lindsey Vonn has spouse as Thomas Vonn,0
Galaxy,Which is parent range of highest peak of Federal District ,1
Agent,was wolfgang amadeus mozart given birth to in Salzburg,1
Band,Where is the school which is the rival of Somerset Berkley Regional High,1
ChemicalCompound,What is the flag for the Flag of China,1
Settlement,Tell me the road bridge which contains the word viaduct in its name,1
Temple,Which culture ministry in South Korea has the largest budget,0
Person,What maintenance is connected with Tochigi Prefecturual Road Route 175,1
Person,what invention did the nobel prize winner in physics create,1
Crater,Who is made by  part of series  Homage to the SquareInsert,0
TopicalConcept,Name a military unit whose command structure is United States Department of the Navy and garrison is Arlington County Virginia,0
MedicalSpecialty,What is the location of death which has arrondissements with Podoli of Jan Palach,0
Agent,What is the first described of the ideology of Progressive Party,1
Agent,What is the home town of the band which is the artist of Your Ice Creams Dirty ,1
MeanOfTransportation,Where did Kang Sheng die that is near Tokoyo,1
City,Which female actress is the voice over on South Park and is employed as a singer,0
Profession,Who was the inventor and what is the history of the Periodic table,1
Company,Who is the mentor of Hans  Hermann Hoppes doctorate supervisor,1
SkiResort,Which dependency of Norway with a weather station as a capital has the longest coastline ,0
CyclingTeam,What is the name of the garrison sister town of Charles University in Prague,0
CelestialBody,Can you tell distributor of BP,1
City,Who is chief executive of manufacturer of IBM 7030 Stretch ,1
Book,Whats the name of a novel series that starts with the letter t,1
Location,Which universities are also known as the Tulane Green wave,1
Game,What is statement of subject for Ojibwe ,0
Taxon,Latin America diplomatic link is what,1
HistoricalSettlement,What country for Pius IX has the birth place of Senigallia,0
Gene,What is the genetic association for multiple sclerosis,1
Building,Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits,1
Biomolecule,What is the biggest stadium in Spain,0
Agent,Which Catholic church is Ignatius of Loyola patron saint of,1
Agent,Who was a nominee for the Academy Award for Best Director,1
Award,Who is the film director for The Star Wars Holiday Special,0
Crater,Which is place served by transport hub of Beijing Capital International Airport ,0
MedicalSpecialty,Whose band members are known to play a PRS guitar,0
GridironFootballPlayer,Which producer of Boeing FA18EF Super Hornet has a key person Dennis Muilenburg ,1
TelevisionShow,Who wrote the singles on the Main Course,1
Species,Which division of Serbia national team is also the region of Dobinsk Ice Cave ,0
Agent,Which bridge did Isambard Kingdom Brunel design,1
Taxon,What country was replaced by the Kingdom of Great Britain,1
PoliticalParty,Who did Daniel Gibson marry,0
Country,What is the noble title for a duke,1
SportsTeam,Who is the designer of the theme Tupolev Tu80,1
River,Tell me fictional detective whose name has the word hydro in it,0
Zoo,Which is the museum that is commissioned by the Suleiman the Magnificent,0
University,Who is the author of Good King Wenceslas and has an education at Trinity College,1
Country,What is on harbour on the Reykjavik whose tributary is the Ave River,1
Family,which poem contains the word prymskvioa in their name,0
Place,Who was the actress that was mentioned in Red Skull,1
Family,Olga Korbut was born in Grodno which is located in what country,0
SkiResort,Who is the child of William Jennings Bryan that has the biological sex of male,0
Media,What city is the residence of Cheryl Teigs,1
LegalCase,Is a truffle not the same as the species Tuber aestivum,1
Location,When was the ancient Roman Empire in power,1
Family,What are the  railroad line which start with the letter s,0
ChemicalSubstance,Which city is the twinned administrative body of Cardiff,1
CelestialBody,Weimar Republic has what national anthem,0
Organisation,What are the avion models that start with letter B,1
Artist,Is Monopolys publishing house the parent company of Playskool Inc,1
Person,Who was the designer of the Golden Gate Bridge ,1
PopulatedPlace,Name the rive whose mouth is located in Limerick and location is Dowra,1
Agent,Which astronauts went on the Gemini 8 mission,1
ChemicalSubstance,"Sovereignty has taken on a different meaning with the development of the principle of selfdetermination and the prohibition against the threat or use of force as jus cogens norms of modern international law The United Nations Charter the Draft Declaration on Rights and Duties of States and the charters of regional international organizations express the view that all states are juridically equal and enjoy the same rights and duties based upon the mere fact of their existence as persons under international law89 The right of nations to determine their own political status and exercise permanent sovereignty within the limits of their territorial jurisdictions is widely recognized101112

In political science sovereignty is usually defined as the most essential attribute of the state in the form of its complete selfsufficiency in the frames of a certain territory that is its supremacy in the domestic policy and independence in the foreign one13",1
Ship,Which companies produce hovercrafts,0
Agent,Brian Moriarty designed video games written by whom,1
Family,Tell me which train service that is operated by Compagnie Internationale des WagonsLits and that contains the word express in its name,0
Weapon,Who is Patron saint the accountant the son of Alphaeus,1
Family,In what town is Taekyeung College,0
Agent,During the February Revolution was Santiago de Cuba known as twin town,1
Opera,Which city is the capital of the Austrian Empire,1
Work,What is Bol??ro dedicated to,1
Person,Which is the significant drug interaction for cocaine,1
Person,What is the subject of The Prodigal son ,1
Work,Who became president after JFK died,1
Species,What is Hilary Mantels college degree in,0
Taxon,What is the portrait of Thomas Lawrences major works,1
Location,What river ends in Indian Ocean and also starts somewhere in Zambia,1
Agent,Which is the tributary in the coast of Pico Island,1
Food,Which lake has the largest length,0
Street,Who gave the historic era of mountain system of Retezat Mountains ,0
Place,What is the ruling party in Lisbon,1
Sport,What is the former team of the Athens borned basketball players ,1
Type,What is the sea whose cities are Gdask and Oulu,0
Museum,What is the church for St Ignatius of Loyola,1
Country,which record did pole vault hold and which is the height,1
Place,Which rivers source mountain is Baikal Mountains and is located in Laptev Sea ,1
PoliticalParty,What are the poem which start with the letter t,0
Work,Who are members of the group employed by Lyle Campbell,0
OfficeHolder,What are the stock exchange which start with the letter s,1
Event,Is Brooklyn that has cities the birth location of Richard E Bellman,0
Company,Which footballers did their high school in west Sacramento california ,1
TopicalConcept,What is the big city for the European Unions headquarters,1
Department,What was the position held by Djuanda Kartawidjaja after he replaced Sukarno,0
Food,Who gave the chancellor of place of work of Bernie Sanders ,0
State,What is Czechoslovakias national anthem,1
Person,What patent medicine did John Pemberton invent that starts with the letter c,1
SkiResort,Where does the river end which starts in Richmond Park,0
City,Who is the editor of Hearth and Home ,0
Agent,Which is the work location of Arab League,1
Election,What is prescribed drug of academic field of oncology,0
Disease,Which taxon is named after David Bowie,1
State,What is Vietnam of JapanVietnam relations of statement is subject odf diplomatic relation,1
UnitOfWork,Who are the creators of Colossus of Rhodes whoses career is builder,0
University,Which music band made Take Me There and to which Tedd Riley was associated,1
Species,Who is cheflieu of Shashanka whicg has cheflieu of is Nawabs of Bengal and Murshidabad ,1
CelestialBody,Dan Carter plays which rugby position,0
Film,who are the member and member of political party for NikitaKhrushchev,1
City,Who influenced Roald Dahls career,1
Bird,What is Hans Eysencks name that the same first name of the 2010 event in Netherlands,0
MedicalSpecialty,WHO IS THE HUSBAND OF EDWARD THE CONFESSOR DAUGHTER,0
Family,Who is the cofounder of RollsRoyce India Private Limited,0
River,Among the countries using Aureus as currency which had Nicomedia as an important place ,1
Website,Who is the husband of Amanda Palmer,0
CelestialBody,Which educational institution of Jack Mcgregor is also the alma mater of Donn barber ,0
BodyOfWater,What domain is doctoral supervisor of Yurii Vladimirovich Egorov,0
Person,Does Johnny Depp have Christoph as another forename that is said to be different from Johnny,1
Website,Name the republic with the highest fertility rate ,0
Country,What are the historic house museum which start with the letter t,1
Settlement,What parent body constellation is Messier a part of,1
AcademicSubject,Where are the headquarters of HBO in the United States,1
Case,In all the grand prixes where the first team was Scuderia Ferrari who all were the pole drivers,1
PersonFunction,What is the demised placce of Leo III,0
Family,Name the river with mouth as Thames Estuary and passes through Reading Berkshire ,0
CelestialBody,What is award received  from Wong Kar  wai that is  working is  Wild Being Days ,0
Person,Who is the associate of Thomas Bryan Martin ,1
SportsTeam,From what country is F Scott Fitzgerald who was born in St Paul,1
Person,What was first discovered in scientific data analysis that caused death by tuberculosis,1
Type,What country celebrates the holiday Nowruz,0
