text,label
Who is the parent of the leader of Communist Party of China?[SEP]dbo:Person,1
Who is the parent of the leader of Communist Party of China?[SEP]dbo:Family,0
Who is the parent of the leader of Communist Party of China?[SEP]dbo:Agent,1
Who is the parent of the leader of Communist Party of China?[SEP]dbo:MedicalSpecialty,0
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:City,1
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:HistoricalSettlement,0
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:State,1
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:Department,0
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:Settlement,1
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:Street,0
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:PopulatedPlace,1
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:SkiResort,0
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:Place,1
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:CelestialBody,0
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:Location,1
Which is the city and state for the twinned administrative body of Auckland?[SEP]dbo:PersonFunction,0
What does the business Minigun produce?[SEP]dbo:Company,1
What does the business Minigun produce?[SEP]dbo:PoliticalParty,0
What does the business Minigun produce?[SEP]dbo:Organisation,1
What does the business Minigun produce?[SEP]dbo:Family,0
What does the business Minigun produce?[SEP]dbo:Agent,1
What does the business Minigun produce?[SEP]dbo:Country,0
Tell meacademic major whose name has the word theory in it.[SEP]dbo:AcademicSubject,1
Tell meacademic major whose name has the word theory in it.[SEP]dbo:MedicalSpecialty,0
Tell meacademic major whose name has the word theory in it.[SEP]dbo:TopicalConcept,1
Tell meacademic major whose name has the word theory in it.[SEP]dbo:MountainRange,0
What are the Avion which start with the letter washington[SEP]dbo:Organisation,1
What are the Avion which start with the letter washington[SEP]dbo:Family,0
What are the Avion which start with the letter washington[SEP]dbo:Agent,1
What are the Avion which start with the letter washington[SEP]dbo:Country,0
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:City,1
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:HistoricalSettlement,0
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:State,1
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:Department,0
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:Settlement,1
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:Street,0
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:PopulatedPlace,1
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:SkiResort,0
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:Place,1
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:CelestialBody,0
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:Location,1
In what Free imperial city did twinned administrative body of Auckland from?[SEP]dbo:BaseballTeam,0
Who was the horse of Napoleon?[SEP]dbo:Animal,1
Who was the horse of Napoleon?[SEP]dbo:Fungus,0
Who was the horse of Napoleon?[SEP]dbo:Eukaryote,1
Who was the horse of Napoleon?[SEP]dbo:Eukaryote,0
Who was the horse of Napoleon?[SEP]dbo:Species,1
Who was the horse of Napoleon?[SEP]dbo:TopicalConcept,0
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:Country,1
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:Department,0
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:Island,1
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:Street,0
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:PopulatedPlace,1
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:SkiResort,0
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:Place,1
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:CelestialBody,0
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:Location,1
Name the island with archipelago as Society Islands and has the largest city named Faaa ?[SEP]dbo:Flag,0
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:Country,1
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:Department,0
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:State,1
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:Street,0
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:PopulatedPlace,1
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:SkiResort,0
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:Place,1
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:CelestialBody,0
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:Location,1
Tell me the republic that is the administrative territorial entity of Mizoram.[SEP]dbo:MountainRange,0
Who is the writer with notable works like Adventures of Huckleberry Finn and The Adventures of Tom Sawyer?[SEP]dbo:Writer,1
Who is the writer with notable works like Adventures of Huckleberry Finn and The Adventures of Tom Sawyer?[SEP]dbo:Host,0
Who is the writer with notable works like Adventures of Huckleberry Finn and The Adventures of Tom Sawyer?[SEP]dbo:Person,1
Who is the writer with notable works like Adventures of Huckleberry Finn and The Adventures of Tom Sawyer?[SEP]dbo:Family,0
Who is the writer with notable works like Adventures of Huckleberry Finn and The Adventures of Tom Sawyer?[SEP]dbo:Agent,1
Who is the writer with notable works like Adventures of Huckleberry Finn and The Adventures of Tom Sawyer?[SEP]dbo:Device,0
Who owns the company that made the Edsel Villager?[SEP]dbo:Company,1
Who owns the company that made the Edsel Villager?[SEP]dbo:PoliticalParty,0
Who owns the company that made the Edsel Villager?[SEP]dbo:Organisation,1
Who owns the company that made the Edsel Villager?[SEP]dbo:Family,0
Who owns the company that made the Edsel Villager?[SEP]dbo:Agent,1
Who owns the company that made the Edsel Villager?[SEP]dbo:River,0
WHICH IS THE VERSION EDITION OR TRANSLATION THAT CONTAINS THE WORD KPY30 IN THEIR NAME[SEP]dbo:Media,1
WHICH IS THE VERSION EDITION OR TRANSLATION THAT CONTAINS THE WORD KPY30 IN THEIR NAME[SEP]dbo:Food,0
Who is graduated from Georges Dumézil whose parent company is Centre de Recherches sur la Pensée Antique?[SEP]dbo:EducationalInstitution,1
Who is graduated from Georges Dumézil whose parent company is Centre de Recherches sur la Pensée Antique?[SEP]dbo:PoliticalParty,0
Who is graduated from Georges Dumézil whose parent company is Centre de Recherches sur la Pensée Antique?[SEP]dbo:Organisation,1
Who is graduated from Georges Dumézil whose parent company is Centre de Recherches sur la Pensée Antique?[SEP]dbo:Family,0
Who is graduated from Georges Dumézil whose parent company is Centre de Recherches sur la Pensée Antique?[SEP]dbo:Agent,1
Who is graduated from Georges Dumézil whose parent company is Centre de Recherches sur la Pensée Antique?[SEP]dbo:Person,0
What is contains for kiel ?[SEP]dbo:Port,1
What is contains for kiel ?[SEP]dbo:Airport,0
What is contains for kiel ?[SEP]dbo:Infrastructure,1
What is contains for kiel ?[SEP]dbo:Zoo,0
What is contains for kiel ?[SEP]dbo:ArchitecturalStructure,1
What is contains for kiel ?[SEP]dbo:SkiResort,0
What is contains for kiel ?[SEP]dbo:Place,1
What is contains for kiel ?[SEP]dbo:CelestialBody,0
What is contains for kiel ?[SEP]dbo:Location,1
What is contains for kiel ?[SEP]dbo:Currency,0
Which is influenced by Friedrich Wilhelm Joseph Schelling?[SEP]dbo:Person,1
Which is influenced by Friedrich Wilhelm Joseph Schelling?[SEP]dbo:Family,0
Which is influenced by Friedrich Wilhelm Joseph Schelling?[SEP]dbo:Agent,1
Which is influenced by Friedrich Wilhelm Joseph Schelling?[SEP]dbo:Name,0
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:City,1
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:HistoricalSettlement,0
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:Settlement,1
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:Department,0
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:PopulatedPlace,1
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:SkiResort,0
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:Place,1
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:CelestialBody,0
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:Location,1
What place that borders Saint-Maurice is where Shi Pei Pu died?[SEP]dbo:Disease,0
Who replaced Andrew Fisher as the Minister for Trade?[SEP]dbo:Person,1
Who replaced Andrew Fisher as the Minister for Trade?[SEP]dbo:Family,0
Who replaced Andrew Fisher as the Minister for Trade?[SEP]dbo:Agent,1
Who replaced Andrew Fisher as the Minister for Trade?[SEP]dbo:Location,0
Which is the university building for the location of the headquarters of University College London?[SEP]dbo:Building,1
Which is the university building for the location of the headquarters of University College London?[SEP]dbo:Zoo,0
Which is the university building for the location of the headquarters of University College London?[SEP]dbo:ArchitecturalStructure,1
Which is the university building for the location of the headquarters of University College London?[SEP]dbo:SkiResort,0
Which is the university building for the location of the headquarters of University College London?[SEP]dbo:Place,1
Which is the university building for the location of the headquarters of University College London?[SEP]dbo:CelestialBody,0
Which is the university building for the location of the headquarters of University College London?[SEP]dbo:Location,1
Which is the university building for the location of the headquarters of University College London?[SEP]dbo:Country,0
What was the album that Joni Mitchell won the Grammy for Best Traditional Pop Vocal Album for?[SEP]dbo:Album,1
What was the album that Joni Mitchell won the Grammy for Best Traditional Pop Vocal Album for?[SEP]dbo:Song,0
What was the album that Joni Mitchell won the Grammy for Best Traditional Pop Vocal Album for?[SEP]dbo:MusicalWork,1
What was the album that Joni Mitchell won the Grammy for Best Traditional Pop Vocal Album for?[SEP]dbo:Website,0
What was the album that Joni Mitchell won the Grammy for Best Traditional Pop Vocal Album for?[SEP]dbo:Work,1
What was the album that Joni Mitchell won the Grammy for Best Traditional Pop Vocal Album for?[SEP]dbo:Flag,0
Which protein interacts with hydrogen peroxide?[SEP]dbo:Protein,1
Which protein interacts with hydrogen peroxide?[SEP]dbo:Protein,0
Which protein interacts with hydrogen peroxide?[SEP]dbo:Biomolecule,1
Which protein interacts with hydrogen peroxide?[SEP]dbo:River,0
What is the foundational document of the Soviet Union?[SEP]dbo:Media,1
What is the foundational document of the Soviet Union?[SEP]dbo:Event,0
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:City,1
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:HistoricalSettlement,0
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:Settlement,1
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:Department,0
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:PopulatedPlace,1
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:SkiResort,0
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:Place,1
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:CelestialBody,0
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:Location,1
In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?[SEP]dbo:Country,0
What opera was composed by Pyotr Ilyich Tchaikovsky?[SEP]dbo:Opera,1
What opera was composed by Pyotr Ilyich Tchaikovsky?[SEP]dbo:Song,0
What opera was composed by Pyotr Ilyich Tchaikovsky?[SEP]dbo:MusicalWork,1
What opera was composed by Pyotr Ilyich Tchaikovsky?[SEP]dbo:Website,0
What opera was composed by Pyotr Ilyich Tchaikovsky?[SEP]dbo:Work,1
What opera was composed by Pyotr Ilyich Tchaikovsky?[SEP]dbo:Media,0
What airlines are part of the SkyTeam alliance?[SEP]dbo:Airline,1
What airlines are part of the SkyTeam alliance?[SEP]dbo:RecordLabel,0
What airlines are part of the SkyTeam alliance?[SEP]dbo:Company,1
What airlines are part of the SkyTeam alliance?[SEP]dbo:PoliticalParty,0
What airlines are part of the SkyTeam alliance?[SEP]dbo:Organisation,1
What airlines are part of the SkyTeam alliance?[SEP]dbo:Family,0
What airlines are part of the SkyTeam alliance?[SEP]dbo:Agent,1
What airlines are part of the SkyTeam alliance?[SEP]dbo:City,0
Whose youth clubs used to participate in Argentine Primera Division?[SEP]dbo:SoccerPlayer,1
Whose youth clubs used to participate in Argentine Primera Division?[SEP]dbo:Surfer,0
Whose youth clubs used to participate in Argentine Primera Division?[SEP]dbo:Athlete,1
Whose youth clubs used to participate in Argentine Primera Division?[SEP]dbo:Architect,0
Whose youth clubs used to participate in Argentine Primera Division?[SEP]dbo:Person,1
Whose youth clubs used to participate in Argentine Primera Division?[SEP]dbo:Family,0
Whose youth clubs used to participate in Argentine Primera Division?[SEP]dbo:Agent,1
Whose youth clubs used to participate in Argentine Primera Division?[SEP]dbo:ChemicalSubstance,0
What is learning the higher taxon of ornithology?[SEP]dbo:Taxon,1
What is learning the higher taxon of ornithology?[SEP]dbo:Type,0
What is learning the higher taxon of ornithology?[SEP]dbo:TopicalConcept,1
What is learning the higher taxon of ornithology?[SEP]dbo:PoliticalParty,0
Who attended Great Ayton university?[SEP]dbo:Person,1
Who attended Great Ayton university?[SEP]dbo:Family,0
Who attended Great Ayton university?[SEP]dbo:Agent,1
Who attended Great Ayton university?[SEP]dbo:City,0
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:FloweringPlant,1
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:Gnetophytes,0
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:Insect,1
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:Conifer,0
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:Plant,1
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:Fungus,0
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:Eukaryote,1
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:Eukaryote,0
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:Species,1
Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?[SEP]dbo:MedicalSpecialty,0
What award did Sheryl Sandberg receive?[SEP]dbo:Award,1
What award did Sheryl Sandberg receive?[SEP]dbo:AnatomicalStructure,0
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:Lake,1
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:Lake,0
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:Sea,1
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:Sea,0
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:BodyOfWater,1
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:Crater,0
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:NaturalPlace,1
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:SkiResort,0
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:Place,1
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:CelestialBody,0
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:Location,1
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?[SEP]dbo:Food,0
Name a movie with Omar Sharif[SEP]dbo:Film,1
